name,path,category,tags,Size
Settings,M14 23h-4a1 1 0 0 1-1-.76l-.8-3.19-.45-.26-3.16.9a1 1 0 0 1-1.15-.46l-2-3.46a1 1 0 0 1 .17-1.22L4 12.27v-.54L1.64 9.45a1 1 0 0 1-.17-1.22l2-3.46a1 1 0 0 1 1.15-.46l3.16.9.45-.21L9 1.76A1 1 0 0 1 10 1h4a1 1 0 0 1 1 .76L15.77 5l.45.26 3.16-.9a1 1 0 0 1 1.15.46l2 3.46a1 1 0 0 1-.17 1.22L20 11.73v.54l2.36 2.28a1 1 0 0 1 .17 1.22l-2 3.46a1 1 0 0 1-1.15.46l-3.16-.9-.45.26-.77 3.19a1 1 0 0 1-1 .76Zm-3.22-2h2.44l.72-2.88a1 1 0 0 1 .55-.67 6.24 6.24 0 0 0 1-.56 1 1 0 0 1 .86-.15l2.85.82 1.22-2.12-2.13-2.06a1 1 0 0 1-.3-.81 5.43 5.43 0 0 0 0-1.14 1 1 0 0 1 .3-.81l2.11-2.06-1.22-2.12-2.85.82a1 1 0 0 1-.86-.15 6.24 6.24 0 0 0-1-.56 1 1 0 0 1-.55-.67L13.22 3h-2.44l-.72 2.88a1 1 0 0 1-.55.67 6.24 6.24 0 0 0-1 .56 1 1 0 0 1-.86.15l-2.83-.82L3.6 8.56l2.13 2.06a1 1 0 0 1 .3.81 5.43 5.43 0 0 0 0 1.14 1 1 0 0 1-.3.81L3.6 15.44l1.22 2.12 2.85-.82a1 1 0 0 1 .86.15 6.24 6.24 0 0 0 1 .56 1 1 0 0 1 .55.67ZM12 16a4 4 0 1 1 4-4 4 4 0 0 1-4 4Zm0-6a2 2 0 1 0 2 2 2 2 0 0 0-2-2Z,System,,24px
Speech 01,M22 23a1 1 0 0 1-.35-.06l-5.45-2.05a10.49 10.49 0 1 1 4.7-4.69l2 5.45a1 1 0 0 1-.24 1.06A1 1 0 0 1 22 23Zm-5.86-4.2a1 1 0 0 1 .35.06l3.81 1.43-1.42-3.81a1 1 0 0 1 .06-.84 8.54 8.54 0 1 0-3.29 3.28 1.07 1.07 0 0 1 .48-.12Z,Communication,,24px
Speech 02,M11 23a1 1 0 0 1-.71-.29l-6.52-6.53A9.36 9.36 0 0 1 1 9.5 8.51 8.51 0 0 1 9.5 1h5a8.5 8.5 0 0 1 0 17H12v4a1 1 0 0 1-.62.92.84.84 0 0 1-.38.08ZM9.5 3A6.51 6.51 0 0 0 3 9.5a7.4 7.4 0 0 0 2.18 5.27L10 19.59V17a1 1 0 0 1 1-1h3.5a6.5 6.5 0 0 0 0-13Z,Communication,,24px
Speech 03,M22 23H12a11 11 0 1 1 8.45-4l2.26 2.25a1 1 0 0 1 .21 1.09A1 1 0 0 1 22 23ZM12 3a9 9 0 0 0 0 18h7.59l-1.23-1.22a1 1 0 0 1 0-1.42A9 9 0 0 0 12 3Z,Communication,,24px
Switch Horizontal,m20.71 17.71-5 5-1.42-1.42 3.3-3.29H3v-2h14.59l-3.3-3.29 1.42-1.42 5 5a1 1 0 0 1 0 1.42Zm-11-6.42L6.41 8H21V6H6.41l3.3-3.29-1.42-1.42-5 5a1 1 0 0 0 0 1.42l5 5Z,Actions,Arrow,24px
Switch Vertical,M21.29 9.71 18 6.41V21h-2V6.41l-3.29 3.3-1.42-1.42 5-5a1 1 0 0 1 1.42 0l5 5ZM8 17.59V3H6v14.59l-3.29-3.3-1.42 1.42 5 5a1 1 0 0 0 1.42 0l5-5-1.42-1.42Z,Actions,Arrow,24px
Trash,M16.78 5 16 1.76A1 1 0 0 0 15 1H9a1 1 0 0 0-1 .76L7.22 5H2v2h20V5Zm-7-2h4.44l.5 2H9.28ZM11 8v11H9V8Zm4 0v11h-2V8Zm3.24 0h2l-1.75 14.12a1 1 0 0 1-1 .88H6.5a1 1 0 0 1-1-.88L3.74 8h2l1.64 13h9.24Z,System,,24px
Unify Horizontal,m20.29 18.71-6-6a1 1 0 0 1 0-1.42l6-6 1.42 1.42-5.3 5.29 5.3 5.29Zm-10.58-6a1 1 0 0 0 0-1.42l-6-6-1.42 1.42L7.59 12l-5.3 5.29 1.42 1.42Z,Navigation,Chevron,24px
Unify Vertical,M12 10a1 1 0 0 1-.71-.29l-6-6 1.42-1.42L12 7.59l5.29-5.3 1.42 1.42-6 6A1 1 0 0 1 12 10Zm6.71 10.29-6-6a1 1 0 0 0-1.42 0l-6 6 1.42 1.42 5.29-5.3 5.29 5.3Z,Navigation,Chevron,24px
Upload,m11.29 16.71-6-6 1.42-1.42 4.29 4.3V1h2v12.59l4.29-4.3 1.42 1.42-6 6a1 1 0 0 1-1.42 0ZM20 15v6H4v-6H2v7a1 1 0 0 0 1 1h18a1 1 0 0 0 1-1v-7Z,Actions,Arrow,24px
User,M12 11a5 5 0 1 0-5-5 5 5 0 0 0 5 5Zm0-8a3 3 0 1 1-3 3 3 3 0 0 1 3-3Zm9.55 11.17C21.42 14.08 18.23 12 12 12s-9.42 2.08-9.55 2.17A1 1 0 0 0 2 15c0 4.49 4.39 8 10 8s10-3.51 10-8a1 1 0 0 0-.45-.83ZM12 21c-4.23 0-7.59-2.34-8-5.43A18.19 18.19 0 0 1 12 14a18.19 18.19 0 0 1 8 1.57c-.41 3.09-3.77 5.43-8 5.43Z,System,,24px
